DateTime,Website Name,URL,Status,Ping (ms),HTTP Time (ms),DNS Time (ms),Content Size (KB),Redirects,Keyword Check,SSL Days Left,SSL Expiry Date,Domain Days Left,Domain Expiry Date,Notes
2025-10-03T09:55:22.650273+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,8.17,436.38,6.05,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
2025-10-03T09:55:24.616123+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up,N/A,1335.97,3.55,219.23,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:55:28.724002+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,109.92,1542.51,65.85,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:54:25.783624+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,497.92,5.74,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:54:30.056099+00:00,SMPB Odisha,https://smpbodisha.in/,Up (Slow),99.36,10956.86,54.12,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:54:53.633616+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,572.26,2.85,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:54:57.608894+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,464.63,3.38,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:55:01.205961+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,189.23,2074.68,3.76,105.89,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:55:05.947914+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1639.16,65.13,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
2025-10-03T09:55:10.930215+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,6.75,400.41,5.2,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
2025-10-03T09:55:12.802797+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up (Slow),N/A,11557.89,2.94,219.25,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:55:36.542006+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,262.94,1198.55,3.66,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:55:49.850119+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,518.37,75.68,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:55:54.622979+00:00,SMPB Odisha,https://smpbodisha.in/,Up (Slow),260.64,14823.55,26.93,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
